,날짜,전체도시이름,도단위이름,시군구이름,최소기온,최대기온,오전날씨,오전비확률,오후날씨,오후비확률,관광지수,관광지표
557,2023-04-27,충북 옥천군,충북,옥천군,6.0,24.0,구름많음,30%,흐림,40%,-0.41,나쁨
558,2023-04-27,전남 완도군,전남,완도군,10.0,21.0,구름많음,30%,흐림,40%,-0.07,보통
559,2023-04-27,충남 당진시,충남,당진시,7.0,22.0,구름많음,30%,흐림,40%,-0.37,나쁨
560,2023-04-27,강원 영월군,강원,영월군,5.0,23.0,구름많음,30%,흐림,40%,-0.41,나쁨
561,2023-04-27,충남 태안군,충남,태안군,9.0,19.0,구름많음,30%,흐림,40%,-0.47,나쁨
562,2023-04-27,충북 진천군,충북,진천군,6.0,23.0,구름많음,30%,흐림,40%,-0.35,나쁨
563,2023-04-27,강원 홍천군,강원,홍천군,5.0,22.0,구름많음,30%,흐림,40%,-0.35,나쁨
564,2023-04-27,충남 서산시,충남,서산시,7.0,20.0,구름많음,30%,흐림,40%,-0.41,나쁨
565,2023-04-27,대구 중구,대구,중구,10.0,23.0,구름많음,30%,흐림,40%,-0.14,보통
566,2023-04-27,전북 군산시,전북,군산시,7.0,21.0,구름많음,30%,흐림,40%,-0.37,나쁨
567,2023-04-27,인천 부평구,인천,부평구,10.0,18.0,구름많음,30%,흐림,40%,-0.47,나쁨
568,2023-04-27,강원 화천군,강원,화천군,4.0,22.0,구름많음,30%,흐림,40%,-0.35,나쁨
569,2023-04-27,충남 부여군,충남,부여군,6.0,22.0,구름많음,30%,흐림,40%,-0.41,나쁨
570,2023-04-27,인천 남동구,인천,남동구,10.0,18.0,구름많음,30%,흐림,40%,-0.47,나쁨
571,2023-04-27,강원 횡성군,강원,횡성군,5.0,23.0,구름많음,30%,흐림,40%,-0.35,나쁨
572,2023-04-27,경기 가평군,경기,가평군,3.0,22.0,구름많음,30%,흐림,40%,-0.35,나쁨
573,2023-04-27,충남 보령시,충남,보령시,8.0,20.0,구름많음,30%,흐림,40%,-0.37,나쁨
574,2023-04-27,전북 김제시,전북,김제시,8.0,23.0,구름많음,30%,흐림,40%,-0.41,나쁨
575,2023-04-27,인천 계양구,인천,계양구,10.0,18.0,구름많음,30%,흐림,40%,-0.41,나쁨
576,2023-04-27,경기 고양시,경기,고양시,7.0,22.0,구름많음,30%,흐림,40%,-0.37,나쁨
577,2023-04-27,울산 중구,울산,중구,9.0,21.0,구름많음,30%,흐림,40%,-0.39,나쁨
578,2023-04-27,경기 과천시,경기,과천시,5.0,23.0,구름많음,30%,흐림,40%,-0.31,나쁨
579,2023-04-27,인천 연수구,인천,연수구,10.0,18.0,구름많음,30%,흐림,40%,-0.49,나쁨
580,2023-04-27,강원 원주시,강원,원주시,8.0,24.0,구름많음,30%,흐림,40%,-0.35,나쁨
581,2023-04-27,충남 서천군,충남,서천군,6.0,21.0,구름많음,30%,흐림,40%,-0.37,나쁨
582,2023-04-27,충남 아산시,충남,아산시,7.0,22.0,구름많음,30%,흐림,40%,-0.37,나쁨
583,2023-04-27,전남 곡성군,전남,곡성군,7.0,23.0,구름많음,30%,흐림,40%,-0.35,나쁨
584,2023-04-27,강원 인제군,강원,인제군,6.0,22.0,구름많음,30%,흐림,40%,-0.41,나쁨
585,2023-04-27,전남 함평군,전남,함평군,8.0,22.0,구름많음,30%,흐림,40%,-0.03,보통
586,2023-04-27,부산 동구,부산,동구,13.0,20.0,구름많음,30%,흐림,40%,-0.35,나쁨
587,2023-04-27,충남 청양군,충남,청양군,6.0,22.0,구름많음,30%,흐림,40%,-0.41,나쁨
588,2023-04-27,전남 고흥군,전남,고흥군,8.0,20.0,구름많음,30%,흐림,40%,-0.11,보통
589,2023-04-27,강원 정선군,강원,정선군,5.0,22.0,구름많음,30%,흐림,40%,-0.47,나쁨
590,2023-04-27,충남 천안시,충남,천안시,6.0,23.0,구름많음,30%,흐림,40%,-0.41,나쁨
